trackId,length,width,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
1314,3.57,1.46,8009,8306,298,car,1,134.72,13.3,14.07,13.68,6.86,0.5,6.75,1
1316,4.05,1.48,8027,8995,969,car,2,135.9,1.79,5.58,4.21,3.26,0.64,6.29,0
1315,3.64,1.48,8029,9455,1427,car,2,136.37,0.81,4.11,2.84,2.02,1.14,5.14,0
1317,3.66,1.51,8030,8425,396,car,2,135.64,9.91,11.73,10.39,-1.0,-1.0,-1.0,0
1318,3.95,2.02,8038,8053,16,car,1,1.88,3.86,3.87,3.87,-1.0,-1.0,-1.0,0
1319,3.68,1.52,8044,8296,253,car,1,133.91,15.06,16.22,15.91,41.06,2.73,-1.0,0
1320,3.56,1.5,8057,8378,322,car,1,134.81,11.95,12.9,12.57,17.96,1.5,-1.0,1
1322,3.53,1.31,8078,8588,511,car,2,136.07,6.6,10.41,8.11,6.49,0.76,3.53,1
1321,4.09,1.5,8078,9088,1011,car,2,136.86,1.81,5.28,4.04,2.81,1.03,5.24,0
1323,3.45,1.43,8080,8343,264,car,1,133.69,14.63,15.5,15.22,14.47,0.99,-1.0,0
1324,3.53,1.39,8082,8424,343,car,1,135.15,11.45,12.42,11.88,35.06,2.98,30.91,0
1325,3.94,1.57,8084,8426,343,car,1,135.28,11.54,12.39,11.87,7.01,0.57,54.81,0
1326,3.83,1.92,8084,8107,24,car,1,3.32,4.24,4.29,4.27,-1.0,-1.0,-1.0,0
1327,3.86,1.54,8087,9139,1053,car,2,136.24,2.45,5.14,3.83,3.19,0.91,3.93,0
1329,3.71,1.57,8107,8397,291,car,1,134.74,13.69,14.31,14.01,40.01,2.85,10.78,0
1328,14.11,2.16,8107,9633,1527,truck,2,134.89,0.81,3.92,2.65,0.38,0.34,1.51,0
1330,4.11,1.7,8118,8480,363,car,2,135.77,10.91,11.64,11.26,-1.0,-1.0,-1.0,0
1331,3.71,1.46,8124,8381,258,car,1,133.59,15.5,16.59,15.72,15.86,1.01,10.73,0
1332,4.24,1.54,8126,8658,533,car,2,136.34,4.39,8.64,7.7,5.4,0.76,6.68,1
1333,3.53,1.54,8133,8479,347,car,1,135.34,10.66,12.31,11.72,13.28,1.14,24.65,0
1334,3.38,1.35,8134,9818,1685,car,2,134.89,0.07,4.72,2.39,0.86,1.0,1.43,0
1335,3.92,1.91,8142,8165,24,car,1,3.31,5.17,5.39,5.25,-1.0,-1.0,-1.0,0
1336,4.2,1.63,8165,8519,355,car,2,135.5,8.96,11.82,11.33,-1.0,-1.0,-1.0,0
1338,3.86,1.54,8169,8434,266,car,1,133.88,14.7,15.39,15.1,19.61,1.28,-1.0,0
1337,3.79,1.44,8170,9218,1049,car,2,136.59,2.6,5.32,3.85,4.24,1.31,8.44,0
1339,3.68,1.46,8184,9172,989,car,2,136.05,1.89,5.77,4.1,4.01,1.52,5.31,0
1341,3.64,1.5,8187,8503,317,car,1,135.04,12.25,13.07,12.81,30.04,2.3,27.53,0
1340,4.05,1.65,8187,8461,275,car,1,133.78,14.33,14.75,14.62,7.46,0.51,3.98,1
1342,4.13,1.52,8195,8783,589,car,2,136.11,3.05,8.9,7.01,13.39,1.9,5.66,1
1343,4.08,1.92,8199,8222,24,car,1,2.49,2.13,2.43,2.32,-1.0,-1.0,-1.0,0
1344,4.05,1.54,8229,8538,310,car,1,134.04,12.29,14.06,13.03,17.74,1.28,-1.0,0
1345,4.09,1.5,8230,9297,1068,car,2,136.14,2.51,5.08,3.8,4.8,1.5,8.43,0
1346,3.83,1.46,8241,9247,1007,car,2,136.26,1.22,5.97,4.03,1.57,0.72,3.86,0
1347,4.31,1.65,8246,8490,245,car,1,134.57,16.41,16.81,16.59,47.77,2.87,18.97,0
1348,4.99,2.25,8256,8578,323,truck,1,134.53,12.1,13.0,12.58,24.19,1.96,61.29,0
1349,3.98,1.54,8269,9441,1173,car,2,136.48,2.55,4.4,3.46,2.66,0.9,1.87,1
1351,3.93,1.63,8284,8649,366,car,2,135.81,8.38,11.73,11.04,-1.0,-1.0,-1.0,0
1350,3.71,1.83,8284,8306,23,car,1,3.25,2.96,3.31,3.17,-1.0,-1.0,-1.0,0
