ts,nad_status,nad_status_str,x,y,z,h,spd_mps,spd_kph,acc_lgt_mpss,acc_lat_mpss,dynamicobj.OBJ_Info.OBJ_CIPV_ID,dynamicobj.OBJ_Info.OBJ_CIPV_Lost,dynamicobj.OBJ_Info.OBJ_Is_CCI,road_id,lane_id
1706928729970468352,5,PilotStdby,44.57360009363947,-2.021632210224425,-0.1713937382273105,-0.0679794055520244,14.28125,51.41249847412109,-0.333539068698883,0.6376491189002991,0.0,False,False,2,1
1706928729980468352,5,PilotStdby,44.72177202721241,-2.0312762511528035,-0.171396743191444,-0.068512398938732,14.28125,51.41249847412109,-0.2992122537991105,0.6719759338000715,0.0,False,False,2,1
1706928729990468352,5,PilotStdby,44.86883851907487,-2.04085474964586,-0.1713973428881967,-0.0690404152918335,14.28125,51.41249847412109,-0.2550590634346008,0.7161291241645813,0.0,False,False,2,1
1706928730000468352,5,PilotStdby,45.00753905559032,-2.0499370587988324,-0.1713798012498895,-0.0695307914747347,14.28125,51.41249847412109,-0.2304146679965,0.7407735071245892,0.0,False,False,2,1
1706928730010468352,5,PilotStdby,45.14776563353098,-2.05957854359508,-0.1713498067795296,-0.0700276003214798,14.28125,51.41249847412109,-0.1961990892887115,0.7749890685081482,0.0,False,False,2,1
1706928730020468352,5,PilotStdby,45.296773046819,-2.072431388330415,-0.1712483225243861,-0.0705614088307379,14.287235437655292,51.43404663419554,-0.1999569867182822,0.7787469773540353,0.0,False,False,2,1
1706928730030468352,5,PilotStdby,45.44459693617273,-2.085006888431735,-0.171164798962673,-0.0710905405771535,14.296875,51.46875,-0.2060090899467468,0.7847990989685059,0.0,False,False,2,1
1706928730040468352,5,PilotStdby,45.583456926042345,-2.0954860708270644,-0.171216890584942,-0.0715842615901205,14.296875,51.46875,-0.1928968655007824,0.7815210341432598,0.0,False,False,2,1
1706928730050468352,5,PilotStdby,45.72318464840964,-2.1059914785844285,-0.1712975458134416,-0.0720806019530486,14.296875,51.46875,-0.1667690724134445,0.7749890685081482,0.0,False,False,2,1
1706928730060468352,5,PilotStdby,45.86795185517667,-2.1166501242212235,-0.1715434193041396,-0.0725921656163493,14.291932775836363,51.45095751037184,-0.1667690724134445,0.7563715299990287,0.0,False,False,2,1
1706928730070468352,5,PilotStdby,46.01260921896346,-2.127295263524502,-0.1717909120522254,-0.0731025813643937,14.28125,51.41249847412109,-0.1667690724134445,0.7161291241645813,0.0,False,False,2,1
1706928730080468352,5,PilotStdby,46.155457475882486,-2.137720867410735,-0.1720641031384406,-0.0735944994370755,14.28125,51.41249847412109,-0.1697187496722121,0.6866323515769046,0.0,False,False,2,1
1706928730090468352,5,PilotStdby,46.29834311614332,-2.148144704328616,-0.1723449344274747,-0.0740854915649571,14.28125,51.41249847412109,-0.1765790730714798,0.6180291175842285,0.0,False,False,2,1
1706928730100468352,5,PilotStdby,46.44146847148113,-2.158559779330289,-0.1726704328434909,-0.0745711488222264,14.285621250456876,51.428235402645775,-0.1875568615239798,0.585095748057979,0.0,False,False,2,1
1706928730110468352,5,PilotStdby,46.584661207886256,-2.1690148948387105,-0.1729861403774411,-0.0750568903867925,14.296875,51.46875,-0.2158190906047821,0.5003090500831604,0.0,False,False,2,1
1706928730120468352,5,PilotStdby,46.72961767045763,-2.1805709758054945,-0.1730305995985261,-0.0755446214767379,14.296875,51.46875,-0.2235613396383883,0.4874053030005168,0.0,False,False,2,1
1706928730130468352,5,PilotStdby,46.87438201068744,-2.19205466748599,-0.17309144417049,-0.0760276018141702,14.296875,51.46875,-0.2452490776777267,0.4512590765953064,0.0,False,False,2,1
1706928730140468352,5,PilotStdby,47.01805791818697,-2.203121883135509,-0.1732469517041863,-0.0764832097007703,14.296875,51.46875,-0.2404469878887404,0.4488580371715138,0.0,False,False,2,1
1706928730150468352,5,PilotStdby,47.16263809575548,-2.21424432230242,-0.1734081584731583,-0.0769397395341842,14.296875,51.46875,-0.2256290912628173,0.4414491057395935,0.0,False,False,2,1
1706928730160468352,5,PilotStdby,47.31257855026615,-2.225693762681658,-0.1736032631034163,-0.0774016873259758,14.293340974327524,51.45602716245939,-0.2256290912628173,0.4414491057395935,0.0,False,False,2,1
1706928730170468352,5,PilotStdby,47.46090322068631,-2.237015787876544,-0.1737870966692334,-0.0778567954312143,14.28125,51.41249847412109,-0.2256290912628173,0.4414491057395935,0.0,False,False,2,1
1706928730180468352,5,PilotStdby,47.59842543978175,-2.2474859046390065,-0.1738954306858851,-0.0782661466378079,14.277993704716888,51.4007754931043,-0.2235846586951321,0.4434935320963883,0.0,False,False,2,1
1706928730190468352,5,PilotStdby,47.73680648395475,-2.2580316808507632,-0.1740029510866882,-0.0786744120341905,14.265625,51.35624694824219,-0.2158190906047821,0.4512590765953064,0.0,False,False,2,1
1706928730200468352,5,PilotStdby,47.88021958194486,-2.2690210109713007,-0.1741056683854918,-0.0790762275765204,14.268513719039046,51.36664661888423,-0.2140054371216508,0.4512590765953064,0.0,False,False,2,1
1706928730210468352,5,PilotStdby,48.023681302131536,-2.280299247579705,-0.1741641054568461,-0.0794767726237887,14.28125,51.41249847412109,-0.2060090899467468,0.4512590765953064,0.0,False,False,2,1
1706928730220468352,5,PilotStdby,48.16746382280007,-2.2933515391659967,-0.1739509166503126,-0.0798695867797021,14.278947762938976,51.40421019587355,-0.2132362686223362,0.4498136443731235,0.0,False,False,2,1
1706928730230468352,5,PilotStdby,48.31110386208866,-2.306298676419374,-0.1737413744953908,-0.0802586380717205,14.265625,51.35624694824219,-0.2550590634346008,0.4414491057395935,0.0,False,False,2,1
1706928730240468352,5,PilotStdby,48.45390701674614,-2.318641815864794,-0.1735527433072814,-0.0806260866680152,14.265625,51.35624694824219,-0.2550590634346008,0.4348480493545928,0.0,False,False,2,1
1706928730250468352,5,PilotStdby,48.59671005720111,-2.330937215220274,-0.1733654054525963,-0.0809918073099729,14.265625,51.35624694824219,-0.2550590634346008,0.3923990726470947,0.0,False,False,2,1
1706928730260468352,5,PilotStdby,48.73953416278346,-2.342950533071644,-0.1731857317016967,-0.0813473059246238,14.267509783109816,51.363032351498376,-0.2550590634346008,0.3852990188048317,0.0,False,False,2,1
1706928730270468352,5,PilotStdby,48.8824588475577,-2.354947297418448,-0.1730092286576017,-0.0817010808937091,14.28125,51.41249847412109,-0.2571820995264477,0.3324775538778016,0.0,False,False,2,1
1706928730280468352,5,PilotStdby,49.02599468825747,-2.3668377428680287,-0.1728527478006114,-0.0820439298708074,14.28125,51.41249847412109,-0.2746790647506714,0.3237290978431701,0.0,False,False,2,1
1706928730290468352,5,PilotStdby,49.17045258605913,-2.378791109744043,-0.1727098004854443,-0.0823865615797309,14.28125,51.41249847412109,-0.2683667695984558,0.3201220677369833,0.0,False,False,2,1
1706928730300468352,5,PilotStdby,49.32075899857273,-2.39114391976068,-0.1726523290172181,-0.0827278760982249,14.28125,51.41249847412109,-0.2060090899467468,0.2844890654087066,0.0,False,False,2,1
1706928730310468352,5,PilotStdby,49.4692942472152,-2.403540502934902,-0.1725439608418764,-0.0830639372069619,14.28125,51.41249847412109,-0.2031556974566503,0.2802089804660174,0.0,False,False,2,1
1706928730320468352,5,PilotStdby,49.6060435288332,-2.4162256373494984,-0.1720976514859629,-0.08336505798552,14.28125,51.41249847412109,-0.1667690724134445,0.2256290912628173,0.0,False,False,2,1
1706928730330468352,5,PilotStdby,49.743618258477,-2.428839095662852,-0.1717171576798968,-0.0836642412601686,14.282067506447772,51.41544157716768,-0.1662558091308464,0.2235760373527903,0.0,False,False,2,1
1706928730340468352,5,PilotStdby,49.88609508300078,-2.441030608518986,-0.1717258050077958,-0.08395201244258,14.296875,51.46875,-0.1569590717554092,0.186389073729515,0.0,False,False,2,1
1706928730350468352,5,PilotStdby,50.02879531322651,-2.4532213494615007,-0.1717650558144416,-0.0842372777675941,14.296875,51.46875,-0.1564769209364952,0.1859069229106009,0.0,False,False,2,1
1706928730360468352,5,PilotStdby,50.172961648607725,-2.4654048584211523,-0.1720084745818315,-0.0845057762530163,14.296875,51.46875,-0.1177190691232681,0.1471490710973739,0.0,False,False,2,1
1706928730370468352,5,PilotStdby,50.317102087298736,-2.4775777718734844,-0.172279269453087,-0.0847701981335564,14.296875,51.46875,-0.1177190691232681,0.1471490710973739,0.0,False,False,2,1
1706928730380468352,5,PilotStdby,50.4611032325588,-2.489686178673992,-0.1727218271727384,-0.0850090915611022,14.296875,51.46875,-0.1466330755441149,0.1085970698561944,0.0,False,False,2,1
1706928730390468352,5,PilotStdby,50.60508633011205,-2.5017922763172464,-0.1731869559066492,-0.0852440737318685,14.296875,51.46875,-0.1471490710973739,0.1079090759158134,0.0,False,False,2,1
1706928730400468352,5,PilotStdby,50.7489382986123,-2.5138825719006945,-0.1737881941962875,-0.0854554211824311,14.296875,51.46875,-0.1845875760742197,0.0611109411404928,0.0,False,False,2,1
1706928730410468352,5,PilotStdby,50.892723743795614,-2.527478594252443,-0.1743594923462517,-0.0856720475420704,14.296875,51.46875,-0.186389073729515,0.0588590689003467,0.0,False,False,2,1
1706928730420468352,5,PilotStdby,51.036137264316494,-2.549988132049066,-0.1747536800844287,-0.0859199492861425,14.309934499311446,51.51576228450861,-0.1945883627817132,0.0342612406640928,0.0,False,False,2,1
1706928730430468352,5,PilotStdby,51.17931974685234,-2.571546650132859,-0.1751810295192388,-0.0861589242229232,14.3125,51.52499771118164,-0.1961990892887115,0.029429068788886,0.0,False,False,2,1
1706928730440468352,5,PilotStdby,51.32111247849389,-2.587470620815793,-0.1758046747544366,-0.0863450045703797,14.3125,51.52499771118164,-0.1961990892887115,0.03757743634312,0.0,False,False,2,1
1706928730450468352,5,PilotStdby,51.46408544785936,-2.6033511239784275,-0.176443175327595,-0.0865272342382109,14.3125,51.52499771118164,-0.1961990892887115,0.0392390713095665,0.0,False,False,2,1
1706928730460468352,5,PilotStdby,51.615871141762,-2.618911088934965,-0.1771923780608499,-0.0866808348605804,14.299761831897236,51.47914217195429,-0.1482138851520643,0.0552341322687449,0.0,False,False,2,1
1706928730470468352,5,PilotStdby,51.76576783817791,-2.634202658817003,-0.1779310352180321,-0.0868295799980607,14.296875,51.46875,-0.1373390704393386,0.0588590689003467,0.0,False,False,2,1
1706928730480468352,5,PilotStdby,51.902944433969424,-2.647687947574468,-0.1785986976330811,-0.086945670044598,14.309365570983934,51.51371422586868,-0.0824445121072208,0.0588590689003467,0.0,False,False,2,1
1706928730490468352,5,PilotStdby,52.04105944490493,-2.6611790846925487,-0.1792773865177626,-0.0870588356537784,14.3125,51.52499771118164,-0.0686690732836723,0.0588590689003467,0.0,False,False,2,1
1706928730500468352,5,PilotStdby,52.1849885968586,-2.674708452321965,-0.1800242429319709,-0.0871539682141234,14.3125,51.52499771118164,-0.0391684302211913,0.0441087508699487,0.0,False,False,2,1
1706928730510468352,5,PilotStdby,52.32887668765352,-2.6887737722886413,-0.1807344453378832,-0.0872492660208983,14.3125,51.52499771118164,-0.029429068788886,0.0392390713095665,0.0,False,False,2,1
1706928730520468352,5,PilotStdby,52.47249067986104,-2.706120045272882,-0.1812199997478991,-0.0873455611564467,14.3125,51.52499771118164,-0.029429068788886,-0.0247350829351168,0.0,False,False,2,1
1706928730530468352,5,PilotStdby,52.61607701696903,-2.72303262946366,-0.1817327035883149,-0.0874390539849544,14.3125,51.52499771118164,-0.029429068788886,-0.049050934612751,0.0,False,False,2,1
1706928730540468352,5,PilotStdby,52.759520103071736,-2.7373569611861512,-0.1824076754187285,-0.0875158202449355,14.32352700661338,51.56469601184592,-0.0017362849172554,-0.049050934612751,0.0,False,False,2,1
1706928730550468352,5,PilotStdby,52.90381437787346,-2.7516712563863166,-0.1830933189865362,-0.0875890352728036,14.328125,51.58124923706055,0.0098109319806098,-0.049050934612751,0.0,False,False,2,1
1706928730560468352,5,PilotStdby,53.05337048058436,-2.765920962867085,-0.1838451110284751,-0.0876401901840798,14.328125,51.58124923706055,-0.0104689957140952,-0.0558109083717681,0.0,False,False,2,1
1706928730570468352,5,PilotStdby,53.2016025215853,-2.7800085487194792,-0.1845898893629645,-0.0876911296318124,14.328125,51.58124923706055,-0.0196190681308507,-0.0588609315454959,0.0,False,False,2,1
1706928730580468352,5,PilotStdby,53.33991439766214,-2.792880709365136,-0.1852821116650336,-0.0877404599372614,14.338474725108096,51.61850673137669,-0.013121096900004,-0.0328690466221093,0.0,False,False,2,1
1706928730590468352,5,PilotStdby,53.479051128511855,-2.8057895664035186,-0.1859867037285045,-0.0877886180442797,14.34375,51.63749694824219,-0.009809068404138,-0.0196209326386451,0.0,False,False,2,1
1706928730600468352,5,PilotStdby,53.62322431182065,-2.81892143191385,-0.1867670408394399,-0.0878295802646345,14.363717188084651,51.70938077526765,0.008995231312751,-0.000816632921756,0.0,False,False,2,1
1706928730610468352,5,PilotStdby,53.76739466741901,-2.832914802645292,-0.187511006839621,-0.0878735951395334,14.375,51.75,0.0196209326386451,0.009809068404138,0.0,False,False,2,1
1706928730620468352,5,PilotStdby,53.91157029189526,-2.852169512865657,-0.1880330576934952,-0.0879362521557417,14.375,51.75,0.0196209326386451,-0.0143972909786673,0.0,False,False,2,1
1706928730630468352,5,PilotStdby,54.05571879841955,-2.870850813537345,-0.1885852016548668,-0.0879955156615285,14.375,51.75,0.0196209326386451,-0.0294309314340353,0.0,False,False,2,1
1706928730640468352,5,PilotStdby,54.1996811910044,-2.8860652177670545,-0.1893190548052761,-0.0880342695672378,14.356696253927549,51.68410472666397,0.0368586696961116,-0.0581604942874677,0.0,False,False,2,1
1706928730650468352,5,PilotStdby,54.34437958450008,-2.9012224240636897,-0.1900693082573852,-0.0880701096454259,14.34375,51.63749694824219,0.049050934612751,-0.0784809365868568,0.0,False,False,2,1
1706928730660468352,5,PilotStdby,54.49365646328943,-2.9160279993391214,-0.1909211920267619,-0.0880879199531952,14.361186173236998,51.70026887464668,0.049050934612751,-0.1167958795177489,0.0,False,False,2,1
1706928730670468352,5,PilotStdby,54.641846854208325,-2.930681856802039,-0.1917679092140733,-0.0881033594809581,14.375,51.75,0.049050934612751,-0.1471509337425232,0.0,False,False,2,1
1706928730680468352,5,PilotStdby,54.78109912119498,-2.944088856814915,-0.1925720930823189,-0.0880993601221835,14.375,51.75,0.049050934612751,-0.1630420392719743,0.0,False,False,2,1
1706928730690468352,5,PilotStdby,54.92110968804582,-2.9575110829032383,-0.1933851247910958,-0.0880915752215266,14.375,51.75,0.049050934612751,-0.176580935716629,0.0,False,False,2,1
1706928730700468352,5,PilotStdby,55.06590751533804,-2.971031140338482,-0.1942538822381116,-0.0880600028090219,14.375,51.75,0.049050934612751,-0.1969879123512578,0.0,False,False,2,1
1706928730710468352,5,PilotStdby,55.211482883280496,-2.984828534074495,-0.1950446214130927,-0.088026266780385,14.375,51.75,0.049050934612751,-0.2158209532499313,0.0,False,False,2,1
1706928730720468352,5,PilotStdby,55.36173488064151,-3.0002999054440807,-0.1953637262826841,-0.0879794599202785,14.390698537319004,51.806514351083344,0.049050934612751,-0.2552456270902665,0.0,False,False,2,1
1706928730730468352,5,PilotStdby,55.510637938412856,-3.015488716534719,-0.1957195316602824,-0.0879306248211178,14.40625,51.86249923706055,0.049050934612751,-0.2943009436130523,0.0,False,False,2,1
1706928730740468352,5,PilotStdby,55.64953546718425,-3.028578637914052,-0.1963483959868419,-0.0878666936721793,14.40625,51.86249923706055,0.0633084522310365,-0.2990534494858141,0.0,False,False,2,1
1706928730750468352,5,PilotStdby,55.79005086389316,-3.0417706801945315,-0.1970090900207335,-0.0877984113171943,14.40625,51.86249923706055,0.0784809365868568,-0.3041109442710876,0.0,False,False,2,1
1706928730760468352,5,PilotStdby,55.94067093643571,-3.055599843670052,-0.19786891915059,-0.087702903131297,14.413523156203352,51.88868153398887,0.1104455839978603,-0.2675799216311789,0.0,False,False,2,1
1706928730770468352,5,PilotStdby,56.08997674456532,-3.0692967577144827,-0.1987260242060671,-0.0876049957906423,14.421875,51.91874694824219,0.1471509337425232,-0.2256309539079666,0.0,False,False,2,1
1706928730780468352,5,PilotStdby,56.22937999736951,-3.081996958521813,-0.1995627101884736,-0.087488939931681,14.421875,51.91874694824219,0.1559459289661893,-0.2124384610724672,0.0,False,False,2,1
1706928730790468352,5,PilotStdby,56.36956321480875,-3.094746744321128,-0.2004119302095119,-0.0873710091878412,14.421875,51.91874694824219,0.1667709350585937,-0.1962009519338607,0.0,False,False,2,1
1706928730800468352,5,PilotStdby,56.51442183428298,-3.1077931695965617,-0.2013365003551488,-0.0872418059089248,14.421875,51.91874694824219,0.1667709350585937,-0.2126558025499497,0.0,False,False,2,1
1706928730810468352,5,PilotStdby,56.6592313623014,-3.121288853830947,-0.2022077316962196,-0.0871119349468561,14.421875,51.91874694824219,0.1667709350585937,-0.2354409545660019,0.0,False,False,2,1
