ts,nad_status,nad_status_str,x,y,z,h,spd_mps,spd_kph,acc_lgt_mpss,acc_lat_mpss,dynamicobj.OBJ_Info.OBJ_CIPV_ID,dynamicobj.OBJ_Info.OBJ_CIPV_Lost,dynamicobj.OBJ_Info.OBJ_Is_CCI
1695432407388481408,2,SysPsv,7.161647874783853,26.69303965224094,0.2585262989214847,1.758356578061637,3.39691590724334,12.228897246250895,0.3041109442710876,-0.3139209151268005,0.0,False,False
1695432407398481408,2,SysPsv,7.15535378544854,26.726788482393545,0.2590336650432903,1.7597047124332266,3.40625,12.262499809265137,0.2886751475039778,-0.3332156728089945,0.0,False,False
1695432407408481408,2,SysPsv,7.149020933806412,26.760290113296605,0.259193076884447,1.7610324134725006,3.40625,12.262499809265137,0.2648709416389465,-0.3629709482192993,0.0,False,False
1695432407418481408,2,SysPsv,7.142678730084981,26.793733994652257,0.2592699981135311,1.762355304067562,3.40625,12.262499809265137,0.2685567958162123,-0.3629709482192993,0.0,False,False
1695432407428481408,2,SysPsv,7.136195614428118,26.827762749951944,0.2596447551375682,1.7637188076234738,3.40625,12.262499809265137,0.2746809422969818,-0.3629709482192993,0.0,False,False
1695432407438481408,2,SysPsv,7.129673735053473,26.86195221701496,0.2601017855427336,1.765093496400433,3.40625,12.262499809265137,0.2711907165562363,-0.3664611739600447,0.0,False,False
1695432407448481408,2,SysPsv,7.123166825214923,26.89581548651961,0.260637120557682,1.7664592606567664,3.40625,12.262499809265137,0.2648709416389465,-0.3727809488773346,0.0,False,False
1695432407458481408,2,SysPsv,7.116663281440651,26.929602643955604,0.261190948290487,1.767822953789942,3.40625,12.262499809265137,0.2615497944745967,-0.3694598017129848,0.0,False,False
1695432407468481408,2,SysPsv,7.110148217430435,26.96315898837156,0.2617846461386008,1.7691820535423164,3.4114081884085548,12.2810691616036,0.2550609409809112,-0.3629709482192993,0.0,False,False
1695432407478481408,2,SysPsv,7.103630620678189,26.996660387569705,0.2623876715128581,1.7705400421398163,3.421875,12.31874942779541,0.239292693284958,-0.3629709482192993,0.0,False,False
1695432407488481408,2,SysPsv,7.096980529830319,27.03054047727187,0.2630300440821571,1.7719183833023149,3.421875,12.31874942779541,0.206010952591896,-0.3629709482192993,0.0,False,False
1695432407498481408,2,SysPsv,7.090296176266122,27.064518876358196,0.2636825576467281,1.7733019967332104,3.421875,12.31874942779541,0.1911624184932661,-0.3629709482192993,0.0,False,False
1695432407508481408,2,SysPsv,7.083208443798355,27.09853456365352,0.2639053072528874,1.7746664730406954,3.421875,12.31874942779541,0.1569609344005584,-0.3629709482192993,0.0,False,False
1695432407518481408,2,SysPsv,7.076025202448818,27.132558225739785,0.2640261017174943,1.7760263746725284,3.421875,12.31874942779541,0.1456499432443125,-0.3657986960083608,0.0,False,False
