ts,track_id,line_role,line_role_str,c0,c1,c2,c3,ego_x,ego_y,ego_yaw,LD_Track_Age,LD_Quality,LD_Confidence,LD_Crossing,LD_Crossing_ID,LD_Filter,LD_Dash_Average_Gap,LD_Dash_Average_Length,LD_Type,LD_Color,LD_Start,LD_End,LD_End_Reason,Line_Is_Virtual
1695432401521867000,44,10,RightRight_Right,-7.126483917236328,-0.0174863077700138,-0.0008289199322462,-1.1776182873290963e-05,0.5222910110721273,1.116843152907336,1.1389796485686448,285.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-28.554994583129883,12.681368827819824,0.0,False
1695432401555223000,60,1,Host_Left,1.7346851825714111,0.0083869835361838,0.0006397615652531,1.0583214134385344e-05,0.6177619515284505,1.3215291422402515,1.1388517157383082,1481.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,2.0,-61.216827392578125,16.228055953979492,0.0,False
1695432401555223000,61,2,Host_Right,-1.2403299808502195,0.0063882078975439,6.040785592631437e-05,-2.24722896291496e-07,0.6177619515284505,1.3215291422402515,1.1388517157383082,1314.0,3.0,1.0,False,0.0,0.0,0.0,0.0,2.0,1.0,-59.714107513427734,15.033265113830566,0.0,False
1695432401555223000,31,6,Adjacent_Right_Right,-4.188899993896484,0.0033404028508812,-0.0002085606975015,-5.9892627177760005e-06,0.6177619515284505,1.3215291422402515,1.1388517157383082,1749.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-59.69338607788086,13.871574401855469,0.0,False
1695432401555223000,44,10,RightRight_Right,-7.129990577697754,-0.0176419224590063,-0.0007980861118994,-1.0009328434534837e-05,0.6177619515284505,1.3215291422402515,1.1388517157383082,286.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-28.71866226196289,12.594680786132812,0.0,False
1695432401588580000,60,1,Host_Left,1.7359603643417358,0.0084523251280188,0.000623112602625,1.0250838386127724e-05,0.6653073150099544,1.4241790095732085,1.138784395134082,1482.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,2.0,-61.38752365112305,16.033594131469727,0.0,False
1695432401588580000,61,2,Host_Right,-1.2393189668655396,0.0065162377431988,5.946376040810719e-05,-2.399028460331465e-07,0.6653073150099544,1.4241790095732085,1.138784395134082,1315.0,3.0,1.0,False,0.0,0.0,0.0,0.0,2.0,1.0,-59.884544372558594,14.870085716247559,0.0,False
1695432401588580000,31,6,Adjacent_Right_Right,-4.188312530517578,0.0032477625645697,-0.0002161396696465,-6.02754198553157e-06,0.6653073150099544,1.4241790095732085,1.138784395134082,1750.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-59.8635368347168,13.734871864318848,0.0,False
1695432401588580000,44,10,RightRight_Right,-7.129362106323242,-0.0194982588291168,-0.0011148870689794,-2.111480171151925e-05,0.6653073150099544,1.4241790095732085,1.138784395134082,287.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-28.888471603393555,12.447907447814941,0.0,False
1695432401621937000,60,1,Host_Left,1.7384666204452517,0.008889433927834,0.0006263795658014,1.0185956853092648e-05,0.7615708578196063,1.631062383960284,1.1386122543973394,1483.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,2.0,-59.96833419799805,15.530415534973145,0.0,False
