trackId,obj_id,length,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
29,407980.0,0.2484489679336547,0.2484510093927383,0.2840037941932678,264,269,6,Special_Truck,2,0.1549208723856277,27.536936753386613,27.553288436040766,27.545693034506638,3.828318210115764,0.13894233419732854,0.0,0
30,408047.0,4.575105667114258,1.8753679990768437,1.6302748918533323,304,579,276,SUV,1,32.19718614587582,24.947402502686685,27.246444323620704,26.086329266822016,27.588904220880384,1.0282181515686588,12.703228639254066,0
31,408048.0,4.469435691833496,1.7791506052017212,1.4868276119232178,304,347,44,Car,2,5.615560368363623,27.555256534008514,27.97109482823652,27.714194225549463,20.033699387288788,0.7263783619973672,1.502432141238134,0
32,408236.0,4.500247478485107,1.7721580266952517,1.4740641117095947,345,380,36,Car,1,5.472527031942269,0.08308924560604858,0.5355673514534587,0.278993080520044,0.0,0.0,0.0,0
33,408337.0,4.602955341339111,1.8706231117248533,1.636317253112793,348,424,77,Car,1,10.315703682438645,-0.44299085244731984,1.2744235025007704,0.22503706528041867,0.0,0.0,0.0,0
34,408653.0,4.498157024383545,1.812627911567688,1.5309261083602903,435,994,560,Car,2,24.313060094991854,4.7090042915283785,20.90906932782675,14.133693708005605,7.927396563694683,0.40624089615782055,0.0,0
35,409175.0,2.680469036102295,1.107336163520813,1.6779272556304932,494,994,501,Tricycle,1,9.523539876262443,2.0988604115049614,13.214456635392933,8.193094317389402,0.0,0.0,0.0,0
36,410004.0,4.581067085266113,1.8356914520263672,1.623229742050171,497,523,27,Car,1,3.701609366507679,-0.6284134312398066,-0.5973810211842245,-0.6112447788810959,0.0,0.0,0.0,0
37,410142.0,2.1391797065734863,1.0021846294403076,1.5091111660003662,634,826,193,Bicycle_P,1,7.326810508906207,5.373000250102449,14.73519115894812,11.014934828231427,0.0,0.0,0.0,0
38,410216.0,0.5,0.5,0.3806618452072143,503,510,8,Pedestrian,1,0.13743963154610495,15.279013858728746,15.295066618405722,15.290448040812798,0.0,0.0,0.0,0
39,410390.0,1.6847045421600342,0.7830387353897095,1.4921188354492188,590,617,28,Motorbike_P,1,1.099712321297881,17.778445768716075,17.91837724569949,17.843575693312484,0.0,0.0,0.0,0
40,410441.0,4.618242740631104,1.8906534910202024,1.830449104309082,597,723,127,SUV,1,4.431716042111217,12.038433330127354,16.23607207964735,15.13147687546243,0.0,0.0,0.0,0
41,410488.0,1.7068111896514893,0.7875199317932129,1.4836585521697998,627,670,44,Motorbike_P,1,2.662405479268481,11.00485726172051,14.617244255518411,14.343701556389652,0.0,0.0,0.0,0
42,410574.0,4.434709548950195,1.7564430236816406,1.494741916656494,664,673,10,Car,1,0.16478525721034448,14.261371727249944,14.384514877523621,14.318762509665476,0.0,0.0,0.0,0
43,410778.0,4.396175384521484,1.8137673139572144,1.5772682428359983,664,697,34,Car,1,0.619011912584154,13.558673520711704,14.384756341878774,14.108445031008554,0.0,0.0,0.0,0
44,410832.0,1.6794885396957395,0.7739721536636353,1.4687994718551636,674,770,97,Motorbike_P,1,9.155425063959035,18.78495773615633,26.606599753706718,23.102314274920577,0.0,0.0,0.0,0
45,410833.0,4.530942916870117,1.8219094276428225,1.5827587842941284,674,990,317,Car,1,24.88117638697004,9.828758664970174,20.239600009843155,13.092793538832955,0.0,0.0,0.0,0
46,411018.0,4.574848175048828,1.968409776687622,1.482543706893921,845,994,150,Car,1,2.6043199278462965,2.0175740623911196,3.8517593843035995,2.487335356187183,0.0,0.0,0.0,0
47,411187.0,1.5500060319900513,0.701913595199585,1.4588019847869873,831,846,16,Motorbike_P,1,0.18107281075413617,3.762631285103313,4.574490324144333,4.189587403712116,0.0,0.0,0.0,0
48,411334.0,4.53477144241333,1.8479286432266235,1.61088764667511,794,839,46,SUV,1,4.671662603402293,-5.401646779916011,-3.0970367119110565,-4.66093291293917,0.0,0.0,0.0,0
49,411335.0,4.467233180999756,1.7720725536346436,1.5381383895874023,814,927,114,Car,1,7.799741710691929,8.859463769268093,11.33459135252701,9.663478991794594,9.06972677134344,0.8001811877691889,0.0,0
50,411632.0,4.463109493255615,1.8371444940567017,1.5213240385055542,875,941,67,Car,2,3.4346289337617217,6.827234641240434,7.158990192481122,6.906457139415314,0.0,0.0,0.0,0
51,411633.0,10.183802604675291,2.757931709289551,3.1698780059814453,872,920,49,Car,1,6.076425524772924,-11.720945928405223,-7.855605054319065,-9.7915715431748,0.0,-2.9172172565045873,0.0,0
52,411634.0,4.575385570526123,1.828948140144348,1.5894925594329834,872,933,62,SUV,1,6.9439667868551185,-9.166939179025615,-8.616286773745225,-8.90012185598022,0.0,-2.8251380435007643,0.0,0
53,411847.0,4.607889652252197,1.846064805984497,1.6045355796813965,948,994,47,Car,1,6.1072719326335125,-11.035756586173312,-9.903865183976523,-10.55179742722788,0.0,0.0,0.0,0
54,411848.0,4.459131717681885,1.913185954093933,1.4786168336868286,965,994,30,Car,1,0.23856944652275394,2.4244060963159813,3.051603699703617,2.759034095958875,0.0,0.0,0.0,0
