ts,nad_status,nad_status_str,x,y,z,h,spd_mps,spd_kph,acc_lgt_mpss,acc_lat_mpss,dynamicobj.OBJ_Info.OBJ_CIPV_ID,dynamicobj.OBJ_Info.OBJ_CIPV_Lost,dynamicobj.OBJ_Info.OBJ_Is_CCI,road_id,lane_id,obj_id,length,width,class_str
1706928734880468352,2.0,SysPsv,113.03695371615868,-5.87271598809366,-0.3326833420580524,-0.0371122629023834,6.778334413033699,24.4020029938594,-9.28535026809936,-0.0447034466516116,0.0,False,False,2.0,2.0,1,0,0,car
1706928734890468352,2.0,SysPsv,113.10762514600763,-5.874833841725604,-0.3327015272296094,-0.0374293424354773,6.53125,23.51249885559082,-9.1625394821167,0.3237290978431701,0.0,False,False,2.0,2.0,1,0,0,car
1706928734899887040,,,113.1743086106039,-5.876943719144321,-0.33267503686693234,-0.03768614448560443,6.438806430194377,23.179702004290583,-9.22348120153412,0.3701609088350284,,,,,2.0,1,0,0,car
1706928734900468352,2.0,SysPsv,113.17842286002316,-5.877073894773275,-0.3326734024593634,-0.0377019887086363,6.433102828773992,23.1591690391772,-9.227241195638207,0.373025667775872,0.0,False,False,2.0,2.0,1,0,0,car
1706928734910468352,2.0,SysPsv,113.24925940121555,-5.879342783701077,-0.3326348353294523,-0.0379757484720819,6.21875,22.38749885559082,-9.368549346923828,0.4806890785694122,0.0,False,False,2.0,2.0,1,0,0,car
1706928734920468352,2.0,SysPsv,113.32046428412878,-5.881898054142539,-0.3324923611512052,-0.0382605193638995,6.304951018509275,22.697822632988267,-9.40557915520968,0.4151748483011718,0.0,False,False,2.0,2.0,1,0,0,car
1706928734921589664,,,113.32844435517346,-5.8821834356008,-0.332477550313539,-0.03829315825992111,6.328573773077125,22.7828645797866,-9.415726901581575,0.3972211557683885,,,,,2.0,1,0,0,car
1706928734930468352,2.0,SysPsv,113.39163267114871,-5.884443161567788,-0.3323602741783933,-0.0385516016827114,6.515625,23.456249237060547,-9.496079444885254,0.2550590634346008,0.0,False,False,2.0,2.0,1,0,0,car
1706928734940468352,2.0,SysPsv,113.46230790602158,-5.886844651655565,-0.332375871670882,-0.0389325545771132,6.4982152485914,23.393574025728896,-9.45235742148082,0.2905833236733335,0.0,False,False,2.0,2.0,1,0,0,car
1706928734950468352,2.0,SysPsv,113.53268875524282,-5.889235988707242,-0.3323860451264124,-0.0393057748785232,6.453125,23.23124885559082,-9.339119911193848,0.3825891017913818,0.0,False,False,2.0,2.0,1,0,0,car
1706928734960468352,2.0,SysPsv,113.59986178254212,-5.891516701510227,-0.3323374713787359,-0.0395951447808346,6.23377245401449,22.44157964045697,-9.0993876363473,0.3927904639795024,0.0,False,False,2.0,2.0,1,0,0,car
1706928734961978528,,,113.61000574711308,-5.891861117577188,-0.33233013613726575,-0.0396388432436699,6.139478312179226,22.102120708534237,-8.996332761714733,0.397175772974927,,,,,2.0,1,0,0,car
1706928734970468352,2.0,SysPsv,113.66703309023342,-5.893797355927518,-0.3322888988745305,-0.0398845072753714,5.609375476837158,20.193750381469727,-8.41697883605957,0.4218291044235229,0.0,False,False,2.0,2.0,1,0,0,car
1706928734980468352,2.0,SysPsv,113.73291861234748,-5.8962846096735575,-0.3328017509599021,-0.040077607261693,5.530758080662129,19.910727800938844,-8.271252249753307,0.257298845770379,0.0,False,False,2.0,2.0,1,0,0,car
1706928734990468352,2.0,SysPsv,113.7986679499063,-5.898755039486787,-0.3333398963717915,-0.0402738753969492,5.28125,19.01249885559082,-7.808759689331055,-0.2648709416389465,0.0,False,False,2.0,2.0,1,0,0,car
1706928734994485504,,,113.82460626316406,-5.899657199733012,-0.33361416550717554,-0.04037471042307192,5.2480408786718185,18.89294613063965,-7.741176874047969,-0.26055714628967425,,,,,2.0,1,0,0,car
1706928735000468352,2.0,SysPsv,113.8632376880396,-5.9010008389832365,-0.3340226503378574,-0.0405248898390491,5.198580620287869,18.71488936701272,-7.640521892147574,-0.2541323622527229,0.0,False,False,2.0,2.0,1,0,0,car
1706928735010468352,2.0,SysPsv,113.92733767193886,-5.903259413329806,-0.3347696387079537,-0.0407683125698917,4.818221995452645,17.34559954782978,-6.870187602952227,-0.2011257714894047,0.0,False,False,2.0,2.0,1,0,0,car
1706928735020468352,2.0,SysPsv,113.986213051066,-5.90566121290999,-0.3362337596997076,-0.0409270738808688,4.609375,16.59375,-6.5236496925354,-0.0981009379029274,0.0,False,False,2.0,2.0,1,0,0,car
1706928735030468352,2.0,SysPsv,114.04502552609392,-5.908061945038526,-0.3376804919137264,-0.0410754968095229,4.612982348673584,16.60673646501046,-6.5535958655335405,-0.105398748861933,0.0,False,False,2.0,2.0,1,0,0,car
1706928735032936064,,,114.05935081072269,-5.908651060690686,-0.33798688797346416,-0.04108209429106251,4.645967799923273,16.725484178988104,-6.827422467541362,-0.17212963888664762,,,,,2.0,1,0,0,car
1706928735040468352,2.0,SysPsv,114.10308015763805,-5.910449394433726,-0.3389221922230465,-0.0411022337554075,4.746659149396337,17.087973310233902,-7.663305228977005,-0.3758322748537815,0.0,False,False,2.0,2.0,1,0,0,car
1706928735050468352,2.0,SysPsv,114.1610716248906,-5.91284364463786,-0.3401418534181157,-0.0411173572564339,4.75,17.100000381469727,-7.691039085388184,-0.3825909495353699,0.0,False,False,2.0,2.0,1,0,0,car
1706928735055317952,,,114.18879209445569,-5.914049715097835,-0.3405892748139299,-0.04104866357634362,4.736535137990478,17.05152638513747,-8.215173467682064,-0.4121791778942937,,,,,2.0,1,0,0,car
1706928735060468352,2.0,SysPsv,114.2182304605194,-5.915330528311188,-0.3410644238659248,-0.040975712802692,4.722235829823904,17.000048352081503,-8.771789573202982,-0.4436010517395655,0.0,False,False,2.0,2.0,1,0,0,car
1706928735070468352,2.0,SysPsv,114.27528259770132,-5.91782279479844,-0.3419685665363143,-0.0408280328061766,4.71875,16.987499237060547,-8.907479286193848,-0.4512609541416168,0.0,False,False,2.0,2.0,1,0,0,car
1706928735080468352,2.0,SysPsv,114.33082778891048,-5.920389169476039,-0.3426156381009182,-0.0405963140996542,4.368505413647714,15.726619055072824,-9.00897098892151,-0.5189217724033174,0.0,False,False,2.0,2.0,1,0,0,car
1706928735090468352,2.0,SysPsv,114.3865394353229,-5.922965776726187,-0.3432697169869172,-0.0403642484635823,4.3125,15.524999618530272,-9.02519989013672,-0.5297409892082214,0.0,False,False,2.0,2.0,1,0,0,car
1706928735094269376,,,114.40845958306059,-5.923990782913119,-0.34354944431759027,-0.040274474611139095,4.411511459473384,15.88144097335412,-8.869791461447916,-0.48052832222175973,,,,,2.0,1,0,0,car
1706928735100468352,2.0,SysPsv,114.44420678519693,-5.925662354829228,-0.3440056214178675,-0.0401280721284438,4.5729785580515445,16.462722692488324,-8.61635263519046,-0.4002726973288324,0.0,False,False,2.0,2.0,1,0,0,car
1706928735110468352,2.0,SysPsv,114.50121098165256,-5.928333792254534,-0.3447748457535624,-0.0399009561165644,4.6875,16.875,-8.436599731445312,-0.3433509469032287,0.0,False,False,2.0,2.0,1,0,0,car
1706928735120468352,2.0,SysPsv,114.5506167808362,-5.930717018978385,-0.3459247854197702,-0.0397774916187062,5.156262228818493,18.562543774955483,-7.975944049455785,-0.0362472722915687,0.0,False,False,2.0,2.0,1,0,0,car
1706928735128028864,,,114.58808393385222,-5.932509321614744,-0.3467807070744567,-0.039688602809853674,5.345266602539845,19.24295942004008,-7.790208225784452,0.08757656444075766,,,,,2.0,1,0,0,car
1706928735130468352,2.0,SysPsv,114.60017293602232,-5.933087618835543,-0.3470568753420728,-0.0396599223012851,5.40625,19.46249961853028,-7.730279445648193,0.1275290697813034,0.0,False,False,2.0,2.0,1,0,0,car
1706928735140468352,2.0,SysPsv,114.65137984739933,-5.935321409169774,-0.3479949484472051,-0.0396065017665496,5.3265733586139055,19.175663223232707,-7.18001324896001,0.5277225663464453,0.0,False,False,2.0,2.0,1,0,0,car
1706928735150468352,2.0,SysPsv,114.70244731328876,-5.937568274509204,-0.3489272204797711,-0.039540128555148,5.28125,19.01249885559082,-6.86699914932251,0.7553691267967224,0.0,False,False,2.0,2.0,1,0,0,car
1706928735154755904,,,114.7236764757279,-5.938593167502331,-0.34929937759119295,-0.03945042152326163,5.215075846561919,18.774272004187473,-6.446337984375075,0.5086851010631713,,,,,2.0,1,0,0,car
1706928735160468352,2.0,SysPsv,114.75196216714356,-5.939958732772311,-0.3497952389442726,-0.0393308960625174,5.126905543602116,18.45685904806939,-5.88584993232098,0.1800038236423333,0.0,False,False,2.0,2.0,1,0,0,car
1706928735170468352,2.0,SysPsv,114.80150875521532,-5.942334342101049,-0.3506461148544062,-0.0391357580315736,5.03125,18.112499237060547,-5.27777910232544,-0.176580935716629,0.0,False,False,2.0,2.0,1,0,0,car
