id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
35,0.7349305152893066,1.6131466627120972,0,149,150,Bicycle_P,1,70.51094516227825,-2.6352369841687344,0.28763875267457767,-0.8767465070421664,0.0,0.0,0.0,0
36,1.854955792427063,4.6522979736328125,0,8,9,Car,1,9.104082216486537,-15.489764443640194,-15.489034593940756,-15.489419017285545,0.0,0.0,0.0,0
37,0.9772793054580688,2.032898426055908,0,53,54,Bicycle_P,1,31.67376490083631,-0.01499961225409605,2.0912806896827942,0.4733198346628371,0.0,0.0,0.0,0
38,0.5,0.5,0,2,3,Pedestrian,1,1.4652825384163495,0.4031705856305285,0.40353843513641424,0.4033613277927617,0.25414785572588133,0.630373010293926,0.09349894679425375,0
39,0.7825601100921631,1.6819334030151367,0,8,9,Motorbike_P,1,5.184619349218103,3.0835994201103976,3.0836285330331163,3.0836102438624233,0.0,0.0,0.0,0
40,1.855059027671814,4.650453090667725,0,38,39,SUV,1,26.577077464731452,0.8281534619569401,1.4603402617885264,1.0657724541278752,0.0,0.0,0.0,0
41,0.7878562808036804,1.7053407430648804,0,13,14,Motorbike_P,1,8.099355435008743,-4.019910677869476,0.0001226706575426004,-0.2870909992351594,0.0,0.0,0.0,0
42,1.7554817199707031,4.436718940734863,0,3,4,Car,1,2.0957479043536718,-0.0003128537051072186,-0.0002332206059136555,-0.00027301396405645956,0.0,0.0,0.0,0
43,1.8137247562408447,4.401968955993652,0,10,11,Car,1,7.172427884018633,2.655883944787441e-07,4.3890224170014e-06,2.23586952882272e-06,0.0,0.0,0.0,0
44,0.7782400846481323,1.704121708869934,0,29,30,Motorbike_P,1,12.554774612555619,11.498678810036516,12.348671439855336,11.788532868880036,0.0,0.0,0.0,0
45,1.8167898654937744,4.516406536102295,0,85,86,Car,2,29.9005043296093,5.783190236265391,9.771514843343263,7.234971871253666,9.067860827149179,1.2350412532690507,0.0,1
46,1.9564690589904783,4.58405876159668,0,44,45,Car,1,6.395290474325553,-0.011664495736005344,0.005158534481473804,-0.0010091300312013208,0.0,0.0,0.0,0
47,0.7022010684013367,1.5520931482315063,0,5,6,Motorbike_P,1,1.0061257906351564,0.0,0.0,0.0,0.0,0.0,0.0,0
48,1.8620100021362305,4.610724449157715,0,14,15,SUV,1,7.683813327572195,-9.61797036155087,-9.607781241086371,-9.613871883456083,0.0,0.0,0.0,0
49,1.7748132944107056,4.467230796813965,0,34,35,Car,2,6.198263261349309,5.931714800010879,7.185161167351252,6.544042450027792,3.5120798150507175,0.5146515041434847,0.0,1
50,1.8221337795257568,4.472103118896484,0,20,21,Car,2,2.528444501229748,4.606310482807494,4.813277050149188,4.73646967612263,0.0,0.0,0.0,0
51,2.7694942951202397,10.32132625579834,0,15,16,Car,1,7.119232005308706,-14.088945817157239,-10.005979698049238,-12.049504119040561,0.0,0.0,0.0,0
52,1.806028127670288,4.543116092681885,0,19,20,SUV,1,8.375282892130926,-11.287999175474088,-10.807974685279582,-11.099669617135394,0.0,-0.5034761012761333,0.0,0
53,1.8386605978012085,4.530801773071289,0,14,15,SUV,1,7.525646272673872,-13.167031913139327,-12.994170898721892,-13.131034278285798,0.0,0.0,0.0,0
54,1.911420226097107,4.464873790740967,0,9,10,Car,1,1.303384853961517,-0.040686693446066166,-0.0007621603627062782,-0.006335907288971774,0.0,0.0,0.0,0
